make,model,target_year,average_price,min_price,max_price,average_km,num_listings,search_date
ALFA-ROMEO,155,,9889.5,2500.0,23900.0,137858,20,2024-11-25
ALFA-ROMEO,155,1993.0,10985.71,2500.0,26500.0,132470,7,2024-11-25
ALPINE,A110,1973.0,88100.0,60000.0,149900.0,43844,4,2024-11-25
AUDI,QUATTRO,1985.0,118483.57,13500.0,299000.0,189194,7,2024-11-25
AUDI,R8,,94531.11,53500.0,165000.0,62855,19,2024-11-25
AUDI,RS4,2006.0,46800.0,32000.0,59900.0,135867,3,2024-11-25
AUDI,TT,1998.0,7374.75,3999.0,13500.0,226625,4,2024-11-25
